Country,Happiness Rank,Happiness Score
Finland,1,7.741
Denmark,2,7.583
Iceland,3,7.525
Sweden,4,7.344
Israel,5,7.341
Netherlands,6,7.319
Norway,7,7.302
Luxembourg,8,7.122
Switzerland,9,7.06
Australia,10,7.057
New Zealand,11,7.029
Costa Rica,12,6.955
Kuwait,13,6.951
Austria,14,6.905
Canada,15,6.9
Belgium,16,6.894
Ireland,17,6.838
Czechia,18,6.822
Lithuania,19,6.818
United Kingdom,20,6.749
Slovenia,21,6.743
United Arab Emirates,22,6.733
United States,23,6.725
Germany,24,6.719
Mexico,25,6.678
Uruguay,26,6.611
France,27,6.609
Saudi Arabia,28,6.594
Kosovo,29,6.561
Singapore,30,6.523
Taiwan,31,6.503
Romania,32,6.491
El Salvador,33,6.469
Estonia,34,6.448
Poland,35,6.442
Spain,36,6.421
Serbia,37,6.411
Chile,38,6.36
Panama,39,6.358
Malta,40,6.346
Italy,41,6.324
Guatemala,42,6.287
Nicaragua,43,6.284
Brazil,44,6.272
Slovakia,45,6.257
Latvia,46,6.234
Uzbekistan,47,6.195
Argentina,48,6.188
Kazakhstan,49,6.188
Cyprus,50,6.068
Japan,51,6.06
South Korea,52,6.058
Philippines,53,6.048
Vietnam,54,6.043
Portugal,55,6.03
Hungary,56,6.017
Paraguay,57,5.977
Thailand,58,5.976
Malaysia,59,5.975
China,60,5.973
Honduras,61,5.968
Bahrain,62,5.959
Croatia,63,5.942
Greece,64,5.934
Bosnia and Herzegovina,65,5.877
Libya,66,5.866
Jamaica,67,5.842
Peru,68,5.841
Dominican Republic,69,5.823
Mauritius,70,5.816
Moldova,71,5.816
Russia,72,5.785
Bolivia,73,5.784
Ecuador,74,5.725
Kyrgyzstan,75,5.714
Montenegro,76,5.707
Mongolia,77,5.696
Colombia,78,5.695
Venezuela,79,5.607
Indonesia,80,5.568
Bulgaria,81,5.463
Armenia,82,5.455
South Africa,83,5.422
North Macedonia,84,5.369
Algeria,85,5.364
Hong Kong,86,5.316
Albania,87,5.304
Tajikistan,88,5.281
Congo (Brazzaville),89,5.221
Mozambique,90,5.216
Georgia,91,5.185
Iraq,92,5.166
Nepal,93,5.158
Laos,94,5.139
Gabon,95,5.106
Ivory Coast,96,5.08
Guinea,97,5.023
Turkey,98,4.975
Senegal,99,4.969
Iran,100,4.923
Azerbaijan,101,4.893
Nigeria,102,4.881
State of Palestine,103,4.879
Cameroon,104,4.874
Ukraine,105,4.873
Namibia,106,4.832
Morocco,107,4.795
Pakistan,108,4.657
Niger,109,4.556
Burkina Faso,110,4.548
Mauritania,111,4.505
Gambia,112,4.485
Chad,113,4.471
Kenya,114,4.47
Tunisia,115,4.422
Benin,116,4.377
Uganda,117,4.372
Myanmar,118,4.354
Cambodia,119,4.341
Ghana,120,4.289
Liberia,121,4.269
Mali,122,4.232
Madagascar,123,4.228
Togo,124,4.214
Jordan,125,4.186
India,126,4.054
Egypt,127,3.977
Sri Lanka,128,3.898
Bangladesh,129,3.886
Ethiopia,130,3.861
Tanzania,131,3.781
Comoros,132,3.566
Yemen,133,3.561
Zambia,134,3.502
Eswatini,135,3.502
Malawi,136,3.421
Botswana,137,3.383
Zimbabwe,138,3.341
Congo (Kinshasa),139,3.295
Sierra Leone,140,3.245
Lesotho,141,3.186
Lebanon,142,2.707
Afghanistan,143,1.721
